run #,datetime,avg_loss,avg_loss_change,total_loss,cost_loss,count_loss,coord_reg,pred_cost,true_cost,param_0,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,param_9,param_10,param_11,param_12
1,2025-07-31 16:42:32,0.4074,0.0000,32.6513,0.4074,545.3229,995.5609,30000.0000,62594.1389,11.3701,3.0429,82.7466,1.7388,141.1089,3.7256,0.5041,1.2596,88.7653,178.4385,0.6599,0.9027,0.4958
2,2025-07-31 16:42:33,0.4202,0.0128,36.2431,0.4330,631.4733,847.2888,30000.0000,65218.1855,8.2772,2.9624,-96.8582,3.1943,124.7970,3.6009,0.5027,0.8820,91.9410,182.7211,0.7092,0.8942,0.5006
3,2025-07-31 16:42:35,0.4372,0.0170,35.9198,0.4713,625.8712,830.9898,30000.0000,69252.9682,9.6910,3.0156,-79.9203,6.4204,141.7589,5.2629,0.5086,1.0180,86.1216,185.3434,0.6810,0.9110,0.4998
4,2025-07-31 16:42:36,0.4400,0.0028,35.7870,0.4483,629.2341,775.4009,30000.0000,66812.0929,9.3262,3.0466,-79.6758,3.0822,133.9388,5.3705,0.5170,1.0460,82.7803,178.9352,0.7111,0.9028,0.4904
5,2025-07-31 16:42:38,0.4435,0.0035,35.8443,0.4576,627.4005,803.3364,30000.0000,67797.3175,9.4076,3.0133,-78.6009,-1.1400,133.9266,5.3287,0.5050,1.0398,91.1978,177.3491,0.7121,0.9102,0.5056
6,2025-07-31 16:42:39,0.4265,-0.0170,32.8288,0.3414,544.2600,1054.8750,30000.0000,56144.4167,9.8990,3.0981,97.1059,-2.9692,128.9334,4.6479,0.4854,0.9778,91.5085,179.4249,0.7319,0.8902,0.5079
7,2025-07-31 16:42:40,0.4355,0.0090,36.5469,0.4895,637.2952,838.5289,30000.0000,71219.4415,11.0874,2.9619,-92.9853,-3.4915,135.4045,2.6729,0.4930,1.2785,92.7712,178.6620,0.7245,0.9000,0.4890
8,2025-07-31 16:42:42,0.4415,0.0060,36.4984,0.4836,636.7985,834.9620,30000.0000,70586.2663,9.8031,3.0035,-97.1122,2.3350,131.8811,5.5439,0.4950,0.9084,92.5784,177.6473,0.7060,0.8887,0.5070
9,2025-07-31 16:42:43,0.4385,-0.0030,32.8306,0.4145,545.1180,1032.0526,30000.0000,63314.8817,11.2391,3.0603,91.5752,-2.7687,135.5077,5.7901,0.4781,1.0892,90.8085,176.6824,0.6448,0.9158,0.5121
10,2025-07-31 16:42:45,0.4364,-0.0021,35.6665,0.4179,624.7832,801.8849,30000.0000,63664.0072,9.0640,3.0687,-77.1139,2.8079,135.6731,4.9097,0.4871,0.9786,88.7680,179.8114,0.7298,0.9050,0.5055
11,2025-07-31 16:42:46,0.4375,0.0011,32.7177,0.4481,543.5720,1018.1990,30000.0000,66788.8383,9.8170,2.9098,86.5218,-2.1420,137.9038,2.3912,0.5073,0.9734,88.4595,181.2814,0.7016,0.9106,0.5067
12,2025-07-31 16:42:48,0.4326,-0.0049,36.3695,0.3786,640.9691,788.4898,30000.0000,59723.9673,10.6567,3.1292,-96.3304,0.5104,132.8326,3.9454,0.4971,1.1297,84.7563,175.0327,0.7733,0.8984,0.5011
13,2025-07-31 16:42:49,0.4390,0.0064,33.0256,0.5156,545.2874,1049.1250,30000.0000,74101.2313,9.4293,2.9398,97.9312,4.3189,141.0709,6.5196,0.4826,0.9264,85.6571,178.1830,0.5910,0.8969,0.5052
14,2025-07-31 16:42:50,0.4307,-0.0083,32.9058,0.3234,544.7231,1069.2371,30000.0000,54459.4547,10.8411,2.8868,107.0658,-0.8794,131.6219,4.9723,0.4936,0.8469,83.0604,179.9557,0.6728,0.8923,0.4948
15,2025-07-31 16:42:52,0.4232,-0.0075,32.9847,0.3182,544.4402,1088.8986,30000.0000,53973.7424,9.5115,3.1215,103.6009,-4.9577,128.8235,5.3544,0.4932,1.0174,91.7447,181.9264,0.7330,0.8959,0.5076
16,2025-07-31 16:42:53,0.4211,-0.0021,32.9126,0.3896,544.9405,1055.1825,30000.0000,60817.1922,10.1385,2.9221,94.8194,4.0940,142.7249,4.7198,0.5016,1.0545,91.4700,176.3455,0.5785,0.9068,0.5000
17,2025-07-31 16:42:54,0.4249,0.0037,32.6347,0.4848,542.5756,1004.2339,30000.0000,70706.1586,7.4032,3.0192,81.6735,1.2786,140.4830,5.8066,0.5063,1.0496,88.8300,183.3017,0.8232,0.9146,0.4979
