run #,datetime,avg_loss,avg_loss_change,total_loss,cost_loss,structure_reg,pred_cost,true_cost,param_0,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,param_9,param_10,param_11,param_12
1,2025-08-05 18:54:03,931368512.0000,0.0000,931368512.0000,931368512.0000,1.1892,100206.0625,63729.6804,9.1566,3.0336,-87.3949,-2.3370,140.4928,3.8238,0.4888,1.0303,91.7321,183.0794,0.6974,0.9038,0.5065
2,2025-08-05 18:54:04,821639136.0000,-109729376.0000,711909760.0000,711909760.0000,1.5243,98294.9062,66404.2463,11.5027,3.0630,-87.5499,0.0203,134.8559,4.1899,0.5038,0.8714,88.8760,184.6711,0.7594,0.8864,0.5132
3,2025-08-05 18:54:05,921543786.6667,99904650.6667,1121353088.0000,1121353088.0000,1.3360,94305.4844,54281.3264,10.3585,2.9090,99.9525,-2.3796,132.4830,5.1143,0.5036,0.9703,91.5387,173.6766,0.6868,0.9026,0.5051
4,2025-08-05 18:54:07,764051984.0000,-157491802.6667,291576576.0000,291576576.0000,0.9584,83708.2578,63298.9976,9.3699,3.0084,84.6017,3.8399,136.3211,2.8119,0.5010,0.9385,89.6530,175.9744,0.6987,0.9064,0.5067
5,2025-08-05 18:54:08,646245488.0000,-117806496.0000,175019504.0000,175019504.0000,0.9562,74518.3828,58706.1119,10.6461,3.0924,78.3270,-2.4882,128.4269,4.6390,0.4902,0.9515,93.4924,177.0639,0.8336,0.9000,0.4918
6,2025-08-05 18:54:10,539651772.7500,-106593715.2500,6683198.5000,6683196.5000,1.8768,62676.1016,65765.9902,8.5967,2.9284,-104.2842,4.4745,136.7348,4.1084,0.4917,0.9179,92.6927,181.6952,0.7075,0.9006,0.4922
7,2025-08-05 18:54:11,464712604.7857,-74939167.9643,15077598.0000,15077597.0000,1.1226,58710.1562,54069.0989,10.8683,2.8866,80.8005,0.5260,125.8147,4.4589,0.4884,0.8602,94.3496,181.2913,0.6599,0.8961,0.4983
8,2025-08-05 18:54:12,413956223.6875,-50756381.0982,58661560.0000,58661556.0000,2.1454,58337.7305,67492.0838,9.5469,2.9259,-97.3566,-3.4638,138.1005,4.3936,0.5020,0.9511,89.0926,176.6318,0.7258,0.9052,0.4960
9,2025-08-05 18:54:14,370391149.0556,-43565074.6319,21870552.0000,21870552.0000,0.9300,54290.7656,59880.3655,10.7879,2.8830,72.8515,-1.2817,137.6300,3.3976,0.5026,1.1630,89.7021,181.8131,0.6642,0.9035,0.4985
10,2025-08-05 18:54:15,336782485.7500,-33608663.3056,34304516.0000,34304516.0000,1.7582,53283.1406,60283.6011,9.2302,2.9622,101.5068,1.9949,142.9579,5.5536,0.5096,1.0576,90.6340,181.0521,0.7206,0.8993,0.5185
11,2025-08-05 18:54:17,307479015.4091,-29303470.3409,14444314.0000,14444312.0000,1.5523,61013.1367,56470.5907,9.8089,3.0251,77.9310,-0.1257,140.2164,3.9270,0.4893,1.0654,85.3919,178.9254,0.7800,0.8826,0.5033
12,2025-08-05 18:54:18,283949897.4583,-23529117.9508,25129602.0000,25129600.0000,1.9602,55642.8125,61634.4239,7.0434,3.0039,81.1986,2.2723,135.0043,4.5646,0.4838,0.7960,87.6883,177.1385,0.6675,0.8974,0.4895
