true_cost,pred_cost,param_0,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,param_9,param_10,param_11,param_12
50495.28482577681,52644.87109375,9.927336,2.8000655,72.898315,-3.1855958,129.5732,4.7531962,0.48961133,1.183687,85.3175,179.24669,0.6887324,0.90276796,0.4922758
51543.97109806161,52670.21484375,9.947387,2.800496,71.70366,-3.4971888,129.6539,4.7336116,0.49248832,1.1727839,86.41571,179.86024,0.69232494,0.90245783,0.49067086
51608.446159307234,52630.05859375,9.911404,2.8004565,74.76076,-3.0405529,129.70847,4.693646,0.48764825,1.1840996,85.00536,179.93407,0.68983155,0.9059924,0.4937545
51742.509828260336,52651.00390625,9.984224,2.8002093,75.22952,-2.9515228,129.8046,4.7031612,0.49153897,1.183644,85.061386,179.67705,0.6926562,0.9052566,0.49294528
51864.11725923192,52653.12109375,9.966433,2.8002803,78.20886,-3.8194675,128.66011,4.697776,0.4872332,1.1836741,85.45041,179.5709,0.6928938,0.90500563,0.49166018
50810.549987528735,52634.5078125,9.933542,2.800181,76.09502,-2.8501325,129.24097,4.7507014,0.49374622,1.1852677,85.8693,179.90558,0.6866094,0.9061782,0.48876968
51668.71493769956,52665.03125,9.92346,2.800161,74.846085,-3.4832125,130.39438,4.7019987,0.4885501,1.1737806,85.897224,179.40286,0.6947516,0.9081492,0.4909426
51807.67640372256,52655.05859375,9.914961,2.8001902,75.372025,-3.2017457,129.9549,4.7210116,0.49103442,1.1862092,85.34318,180.02452,0.69351816,0.9066809,0.493798
50462.25116737089,52674.65234375,9.890778,2.800401,72.315445,-2.5980334,130.34479,4.745511,0.48781517,1.1793952,84.753914,180.32846,0.69359595,0.9066051,0.488981
50599.32095246726,52635.6171875,9.899865,2.80019,75.810455,-3.0867665,129.44107,4.7220993,0.4910364,1.1883315,85.18649,179.33803,0.69059134,0.90517753,0.49375817
50097.199561938716,52744.6875,9.944044,2.800474,67.3172,-3.8383183,128.08711,4.7932253,0.48234275,1.1569476,86.63728,182.04361,0.69133675,0.90572554,0.49313992
51390.70761604902,52656.75390625,9.960945,2.8003526,71.44844,-2.6413083,129.25024,4.6868525,0.48956737,1.1834011,84.767654,179.75578,0.69560665,0.905628,0.49058527
51657.23022118569,52634.00390625,9.922657,2.800122,72.87697,-2.9161453,130.09383,4.732221,0.48892748,1.1863863,84.95966,180.22717,0.6901261,0.90495384,0.49133843
51588.20183998681,52630.41015625,9.92031,2.800246,73.931854,-2.8319464,129.74791,4.700732,0.49060723,1.1846797,85.728134,180.28003,0.68758744,0.9067608,0.4920631
51294.4529924825,52653.94140625,9.945284,2.8003387,71.16525,-3.0632634,129.42877,4.6859794,0.48787954,1.1829166,84.8696,179.98935,0.692154,0.9061152,0.49397328
50476.15624006496,52654.71484375,9.918929,2.8001652,73.92113,-3.1887417,128.46918,4.731327,0.48876932,1.1881789,85.59973,180.11786,0.6928448,0.9032957,0.4920271
51506.35623272925,52632.40234375,9.893486,2.8001556,74.509964,-3.108782,129.02325,4.682416,0.4868868,1.1871301,85.18493,179.21555,0.691402,0.9057068,0.4930202
51478.37452272215,52650.0390625,9.933347,2.8003418,74.7045,-3.4379387,130.04865,4.6698847,0.48790243,1.1767831,85.49628,179.8228,0.69447523,0.907462,0.4907039
51454.138657820266,52642.8515625,9.904007,2.8002772,71.941315,-2.6335416,129.93904,4.70539,0.48862624,1.1801322,85.141235,179.80487,0.6921671,0.9060013,0.49068034
51622.72289532506,52658.28125,9.903559,2.8003109,71.754364,-2.819601,130.12486,4.752777,0.48855984,1.183745,85.35182,180.88354,0.69063735,0.90527606,0.49116048
50674.559667703565,52656.0390625,9.9189,2.8002727,73.30771,-2.397578,130.0195,4.764946,0.49078795,1.1854348,84.92073,179.75587,0.6924815,0.9037761,0.49245742
50630.29528061499,52646.80859375,9.906911,2.800309,75.86195,-3.100994,129.83363,4.7244062,0.48822623,1.1788232,85.49381,180.2165,0.6898905,0.90545267,0.49274746
50834.05714431622,52651.74609375,9.934265,2.8002024,76.97977,-3.2151146,129.58784,4.7482347,0.49061382,1.1842244,85.6874,179.91147,0.6853243,0.9059688,0.49372938
51767.245698683706,52617.0078125,9.955451,2.800098,75.71176,-2.8925238,129.94923,4.699688,0.49079418,1.1843581,84.86215,180.00595,0.68689954,0.904339,0.49253142
51931.80384825813,52642.44140625,9.951609,2.8004615,76.00336,-3.0510175,129.93553,4.72882,0.4907175,1.1779153,85.10068,180.34006,0.68432313,0.90714604,0.48942128
51159.07847630005,52715.37109375,9.963779,2.8003995,67.680405,-3.6522784,127.524345,4.7447453,0.48185885,1.160706,85.93294,180.78853,0.6911375,0.9034668,0.49166977
51500.97803720184,52635.28515625,9.929958,2.8001308,71.544205,-2.747434,130.16302,4.7171917,0.49072778,1.1772969,84.99222,179.63844,0.6856871,0.9081927,0.4935971
51187.446203967156,52679.84765625,9.977703,2.8003092,68.83006,-3.0241923,129.03229,4.6934767,0.4857778,1.1771684,85.731064,179.82083,0.6962404,0.9038631,0.4902788
51807.691389251915,52668.3828125,9.969002,2.8004296,74.09993,-2.9794843,130.8023,4.7350736,0.4884413,1.1820822,84.8278,179.9775,0.6931558,0.90318316,0.49208865
51536.42044486176,52652.71484375,9.945036,2.800202,73.16524,-2.9648905,129.41515,4.704367,0.48666626,1.1873578,85.75284,180.40071,0.6911125,0.9048321,0.4928943
