run #,datetime,avg_loss,avg_loss_change,total_loss,cost_loss,structure_reg,pred_cost,true_cost,param_0,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,param_9,param_10,param_11,param_12
1,2025-08-05 23:20:30,760195328.0000,0.0000,760195328.0000,760195328.0000,0.6642,101232.5312,68278.1179,7.8172,2.9646,80.0632,0.6534,134.2037,5.5396,0.4951,1.0162,89.6731,175.5106,0.7118,0.8979,0.5283
2,2025-08-05 23:20:31,652259552.0000,-107935776.0000,544323776.0000,544323776.0000,1.1394,100050.0781,72164.4996,10.4372,2.9014,94.7292,-0.8131,127.3118,7.2037,0.4800,1.0256,89.6969,169.3363,0.7052,0.8865,0.5132
3,2025-08-05 23:20:33,752794944.0000,100535392.0000,953865728.0000,953865728.0000,0.9351,97339.4844,60425.1874,10.6303,3.1284,96.0906,3.9254,137.1906,6.3608,0.4888,1.0770,93.7910,179.8718,0.7281,0.9035,0.5116
4,2025-08-05 23:20:34,744008320.0000,-8786624.0000,717648448.0000,717648448.0000,1.2501,93490.9688,61472.0337,10.4012,3.1583,-69.9258,-7.8074,135.9680,5.6932,0.5077,1.0567,97.6168,184.3276,0.7071,0.8771,0.4912
5,2025-08-05 23:20:35,718434227.2000,-25574092.8000,616137856.0000,616137856.0000,0.9278,86951.8906,57283.7777,10.9174,3.0459,86.0303,-5.5535,129.7207,4.1336,0.5008,0.9590,94.0382,185.8587,0.7052,0.9094,0.5004
6,2025-08-05 23:20:37,604053338.0000,-114380889.2000,32148894.0000,32148892.0000,1.7221,77458.8672,70681.9214,9.8099,3.0005,-98.3909,4.2677,141.4527,5.0483,0.5181,0.9868,87.4901,174.2489,0.6439,0.9123,0.5114
7,2025-08-05 23:20:38,523341459.4286,-80711878.5714,39070188.0000,39070188.0000,1.5153,66471.8984,73942.8138,9.8744,3.1018,-80.1254,-2.0200,142.2560,6.9215,0.5136,0.8329,98.3959,181.1179,0.6770,0.8968,0.5020
8,2025-08-05 23:20:40,463689795.5000,-59651663.9286,46128148.0000,46128148.0000,1.7738,62198.5781,70316.2932,9.6510,2.8307,-111.0309,7.2822,137.1500,4.3912,0.5104,1.0056,88.3385,179.7524,0.6434,0.8767,0.5201
9,2025-08-05 23:20:41,412443946.5556,-51245848.9444,2477156.7500,2477155.0000,1.6259,61362.7695,59481.6028,10.1703,3.2547,-98.7816,-2.7836,130.6413,5.1204,0.4986,1.1764,87.8827,177.1864,0.6982,0.8782,0.5180
10,2025-08-05 23:20:42,371267242.6687,-41176703.8868,676908.7500,676907.6875,1.0574,58613.2891,57629.9234,10.7504,3.0863,80.4811,0.2315,138.0484,4.6245,0.4980,1.0269,89.1682,178.8039,0.6909,0.8980,0.5180
11,2025-08-05 23:20:44,345696995.8807,-25570246.7881,89994528.0000,89994528.0000,1.5149,55327.0273,66665.6174,9.2482,2.9772,-98.5413,5.1038,127.4515,4.2049,0.4988,1.0581,91.5270,175.4991,0.6776,0.9177,0.5058
12,2025-08-05 23:20:45,320147656.5573,-25549339.3234,39104924.0000,39104924.0000,1.5168,54258.5820,61732.8178,10.3934,3.1723,-91.5763,1.6819,137.5857,3.9946,0.4905,1.0155,94.1405,186.5663,0.6601,0.9139,0.4920
13,2025-08-05 23:20:46,297561454.6683,-22586201.8890,26527034.0000,26527032.0000,1.1131,54362.8828,60518.8369,9.3271,2.8485,83.0845,-0.0965,132.3631,5.5714,0.5026,0.9308,91.2117,175.0697,0.7048,0.9135,0.4863
14,2025-08-05 23:20:48,285412421.0491,-12149033.6192,127474984.0000,127474984.0000,1.2700,55568.5898,69063.2940,10.6788,3.0862,-106.7242,3.5367,132.6814,5.9567,0.4971,0.9086,88.6921,180.2009,0.7180,0.8928,0.5088
15,2025-08-05 23:20:49,266862536.3458,-18549884.7033,7164151.5000,7164150.5000,0.7657,57910.8320,61109.9745,10.7453,3.1163,-67.4040,-0.7340,137.5023,5.2205,0.5099,0.9617,87.6533,179.8763,0.6945,0.8968,0.4919
16,2025-08-05 23:20:51,250975264.6367,-15887271.7091,12666190.0000,12666189.0000,1.0706,61665.5977,57411.8287,10.8486,3.0580,85.8283,-0.7533,130.8859,5.1098,0.5034,0.8398,87.6605,180.3695,0.7054,0.8938,0.5129
17,2025-08-05 23:20:52,236342735.1140,-14632529.5227,2222263.7500,2222262.7500,0.9405,63535.4766,61753.7172,9.3496,2.9450,92.4749,-3.6944,132.1576,5.5874,0.5011,0.9057,87.8250,181.8824,0.6558,0.9076,0.5092
18,2025-08-05 23:20:54,225267485.6076,-11075249.5063,36988244.0000,36988244.0000,0.9269,63454.2656,56185.1309,8.5954,3.0383,70.4873,-0.5138,131.8028,4.3332,0.5133,0.8722,87.1396,181.1829,0.7784,0.9184,0.5004
19,2025-08-05 23:20:55,215118872.2599,-10148613.3478,32443834.0000,32443832.0000,1.3319,61851.0117,55043.0525,10.7207,2.9775,90.8119,0.4394,135.0718,5.1856,0.5005,1.0775,88.0153,182.1251,0.7209,0.9065,0.4965
20,2025-08-05 23:20:56,210196831.0469,-4922041.2130,116678048.0000,116678048.0000,1.0374,59497.2305,72407.8084,10.7474,2.9388,-91.8158,0.2299,127.2519,5.4374,0.4943,1.0942,86.7759,181.3810,0.6448,0.8830,0.5020
21,2025-08-05 23:20:58,201874500.6161,-8322330.4308,35427892.0000,35427892.0000,0.8310,58637.7070,65751.8693,8.7178,2.9413,-83.1436,-0.1493,126.9083,4.5005,0.5002,1.0595,90.3908,181.1322,0.7363,0.9156,0.4975
22,2025-08-05 23:20:59,196609563.6790,-5264936.9371,86045888.0000,86045888.0000,1.2938,59024.3477,70111.3972,10.2815,3.1160,-97.1310,-1.5336,135.1405,6.3004,0.4992,1.0997,85.4188,179.2251,0.6317,0.9238,0.4899
23,2025-08-05 23:21:01,188459179.3016,-8150384.3773,9150724.0000,9150723.0000,1.3637,60246.2266,56630.6403,11.0048,2.9577,73.9687,-1.6800,128.8120,5.5691,0.5294,0.9398,86.3918,175.8402,0.7178,0.9020,0.5004
24,2025-08-05 23:21:02,180822879.6432,-7636299.6584,5187988.5000,5187987.5000,1.1335,60473.4805,57751.0886,10.1567,2.9820,84.9792,4.2137,132.8257,5.5352,0.4849,0.9970,86.8670,178.9783,0.7061,0.8986,0.5051
25,2025-08-05 23:21:03,175770363.1775,-5052516.4657,54509968.0000,54509968.0000,1.3192,59862.7891,68687.2665,11.5449,3.0518,-86.5203,4.2209,130.7771,5.3064,0.4899,0.9038,91.0146,178.3654,0.7114,0.8963,0.4868
26,2025-08-05 23:21:05,169567545.4014,-6202817.7761,14497103.0000,14497101.0000,1.5486,60227.2227,64778.0606,9.6566,3.0760,-83.0569,4.7821,135.4196,3.0971,0.5142,1.0815,92.6912,177.6942,0.7579,0.8919,0.4957
27,2025-08-05 23:21:06,163823274.2384,-5744271.1630,14472226.0000,14472224.0000,1.8588,61713.6523,66260.5889,12.7173,3.1922,-74.0062,-10.7244,135.5393,4.8741,0.5064,0.9547,88.3115,183.4211,0.6360,0.8967,0.4905
28,2025-08-05 23:21:07,159534694.8728,-4288579.3657,43743052.0000,43743052.0000,1.5614,63702.6484,55797.5827,10.3443,2.9494,87.0846,-0.2053,133.1027,4.8803,0.4907,0.9925,93.8912,176.4320,0.6523,0.9188,0.4865
29,2025-08-05 23:21:09,155547734.7737,-3986960.0991,43912852.0000,43912852.0000,1.6487,64772.9023,56852.5075,10.4104,3.0047,76.7711,-6.7817,128.2321,3.9890,0.5092,0.8609,86.6175,185.7455,0.7625,0.8879,0.5034
30,2025-08-05 23:21:10,151997611.7479,-3550123.0258,49044048.0000,49044044.0000,2.3040,65474.0156,73844.3743,8.9661,3.0077,-97.5598,-1.8745,129.4134,6.1782,0.4945,0.9079,91.1558,183.4860,0.7801,0.9040,0.5196
31,2025-08-05 23:21:12,147249079.4012,-4748532.3467,4793111.0000,4793109.0000,2.0968,65427.7148,62810.9814,11.4619,2.9986,95.4176,-1.3394,136.6708,6.3386,0.4972,0.9801,91.3656,176.1871,0.7390,0.8936,0.4948
32,2025-08-05 23:21:13,142709415.5098,-4539663.8914,1979838.0000,1979834.8750,3.1530,66484.5312,64802.7672,7.7551,2.8643,-98.6797,4.7331,129.1247,4.0740,0.4950,1.1097,89.4595,183.2733,0.7686,0.9016,0.4864
33,2025-08-05 23:21:15,140099681.1004,-2609734.4094,56588184.0000,56588180.0000,3.0057,63301.2773,54310.1567,9.6361,3.1514,98.0194,-7.8334,126.5523,4.5908,0.4985,1.0636,92.8439,180.1211,0.6762,0.9000,0.5121
