run #,datetime,avg_loss,avg_loss_change,total_loss,cost_loss,structure_reg,pred_cost,true_cost,param_0,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,param_9,param_10,param_11,param_12
1,2025-08-06 17:17:39,874479168.0000,0.0000,874479232.0000,874479168.0000,827.8589,96616.3750,67044.7778,9.6949,3.0525,93.7837,1.2171,133.1030,6.3557,0.4979,1.0847,96.1444,175.2058,0.6806,0.9125,0.4951
2,2025-08-06 17:17:41,531269840.0000,-343209328.0000,188060592.0000,188060512.0000,529.6630,87741.9141,74028.4016,10.1309,2.9484,-80.4813,4.6952,133.3978,6.1219,0.5054,0.9736,88.5485,178.4952,0.7137,0.9025,0.5052
3,2025-08-06 17:17:42,388253541.3333,-143016298.6667,102221024.0000,102220944.0000,518.9636,81155.1250,71044.6879,11.7350,2.9673,-90.0073,0.3499,132.7833,5.1879,0.4836,1.0111,88.7450,180.5872,0.6855,0.8880,0.4954
4,2025-08-06 17:17:43,365064548.0000,-23188993.3333,295497632.0000,295497568.0000,748.5071,76083.1094,58893.0655,10.2762,3.0297,94.8624,6.0458,129.7191,3.5588,0.4901,1.0506,91.7951,182.6454,0.7176,0.8989,0.5091
5,2025-08-06 17:17:45,296738316.4000,-68326231.6000,23433468.0000,23433390.0000,531.6442,72134.0938,76974.8995,10.2957,2.9475,-97.8925,2.3658,137.0829,6.3558,0.4974,0.9715,92.0147,180.5903,0.7854,0.9025,0.5119
6,2025-08-06 17:17:46,247350850.2240,-49387466.1760,413593.7188,413519.3438,483.6745,69901.3516,70544.4071,9.7781,2.8998,-89.0121,0.8303,122.0900,5.3114,0.5074,1.1175,89.7625,185.5094,0.6969,0.8999,0.4902
7,2025-08-06 17:17:47,212308357.2634,-35042492.9606,2053475.0000,2053399.5000,510.5846,68152.8125,69585.7838,8.3958,2.9738,-72.9672,-2.4369,135.0679,5.7098,0.5054,0.8154,91.8435,176.1046,0.7061,0.9051,0.5059
8,2025-08-06 17:17:49,195510217.6055,-16798139.6579,77923320.0000,77923240.0000,729.9547,66853.7031,58026.2881,10.9365,3.0290,81.2318,-6.4189,137.1428,5.2428,0.5001,1.0167,93.4333,184.3626,0.6890,0.9007,0.5018
9,2025-08-06 17:17:50,189931875.2049,-5578342.4006,145305200.0000,145305136.0000,517.6028,65400.0547,77454.3141,11.2702,2.8126,-79.9113,-7.9965,132.9458,6.0494,0.5047,1.0265,95.9459,180.3002,0.7165,0.8943,0.5076
10,2025-08-06 17:17:52,182129930.8844,-7801944.3205,111912512.0000,111912432.0000,693.5736,64677.2812,54098.4129,10.2277,3.1247,84.5908,-5.7511,134.6920,5.4428,0.5010,1.1270,88.7057,179.6794,0.7508,0.9014,0.4715
11,2025-08-06 17:17:53,169786768.0767,-12343162.8077,46355208.0000,46355140.0000,476.5917,63751.1875,70559.6447,9.3249,2.9947,-98.9765,0.0201,127.2992,5.4963,0.5187,0.8457,88.5584,179.5430,0.7867,0.9072,0.5016
12,2025-08-06 17:17:54,155684048.1589,-14102719.9179,554204.1250,554129.0625,706.8817,63143.4336,63887.8321,9.3841,2.9387,97.8606,4.0238,128.1903,6.0361,0.4940,0.8512,89.3375,183.1328,0.6577,0.8931,0.4891
13,2025-08-06 17:17:56,148909567.5312,-6774480.6276,67615872.0000,67615800.0000,497.9644,62742.7344,70965.6181,9.5943,2.9365,-94.2372,4.4352,134.2791,5.0677,0.5103,0.9612,91.6874,177.6187,0.6713,0.9111,0.5131
14,2025-08-06 17:17:57,144670105.2790,-4239462.2522,89557168.0000,89557096.0000,655.1833,62624.8789,53161.4185,9.2925,2.8610,85.5740,-1.3552,126.7427,4.0030,0.5083,0.8999,88.5743,181.5565,0.7197,0.9160,0.5076
15,2025-08-06 17:17:58,135103122.4187,-9566982.8603,1165429.6250,1165362.3750,489.2976,62312.0547,63391.5725,8.6632,3.0822,-91.6797,-3.7473,135.5316,4.8842,0.5159,1.0115,90.4600,176.8502,0.7539,0.8985,0.5077
16,2025-08-06 17:18:00,126877616.6582,-8225505.7605,3495101.7500,3495030.2500,700.6417,62023.5547,63893.0528,8.6537,2.7775,94.4613,-0.3158,137.1151,5.5725,0.5137,1.0791,88.7474,178.4756,0.7042,0.9024,0.4947
17,2025-08-06 17:18:01,122874906.0312,-4002710.6270,58831608.0000,58831536.0000,704.9797,61854.4375,54184.2665,9.7962,3.0121,87.7950,-2.6622,140.1108,4.6090,0.4933,0.8757,91.5603,181.9277,0.7695,0.9035,0.5102
18,2025-08-06 17:18:02,118284212.3628,-4590693.6684,40242484.0000,40242420.0000,505.7476,61463.1758,67806.8674,8.8160,2.8681,-89.3151,-6.5168,137.8356,4.3296,0.5167,0.7323,93.1292,180.6682,0.6772,0.8858,0.4895
19,2025-08-06 17:18:04,119346448.7648,1062236.4020,138466768.0000,138466704.0000,519.9404,61332.5078,73099.6982,10.2012,2.9798,-84.6085,-2.3797,142.5628,4.2018,0.5040,0.9989,94.8924,178.8796,0.5888,0.8676,0.5216
20,2025-08-06 17:18:05,116047831.1266,-3298617.6382,53374164.0000,53374096.0000,728.7196,61620.3008,54314.5413,9.8573,3.2051,100.8629,-2.0174,142.5526,3.9916,0.4958,1.0103,88.5778,182.4770,0.7714,0.9026,0.4991
21,2025-08-06 17:18:06,110572150.0015,-5475681.1251,1058593.7500,1058527.5000,646.3903,61636.1484,62664.9948,8.3534,2.9906,87.3718,-0.5362,132.2764,5.0374,0.5015,0.9158,88.0131,178.7047,0.7958,0.8945,0.5113
22,2025-08-06 17:18:08,106157762.6378,-4414387.3637,13455690.0000,13455628.0000,486.3460,61804.9453,65473.1380,10.1188,3.1295,-95.1508,-3.7100,134.5527,5.8499,0.4979,0.9748,88.1972,177.8796,0.6768,0.9061,0.5037
23,2025-08-06 17:18:09,103102897.8274,-3054864.8103,35895932.0000,35895872.0000,491.7986,62032.4805,68023.8005,10.3464,2.9265,-77.8029,-2.1053,133.9853,3.8787,0.4968,1.1020,93.9772,180.3195,0.6920,0.9143,0.4940
24,2025-08-06 17:18:11,99279030.7096,-3823867.1178,11330151.0000,11330087.0000,699.8698,62454.8125,59088.7931,9.1280,3.0931,104.6986,3.5406,136.8596,5.3167,0.5033,1.0426,88.0673,178.8493,0.6969,0.8935,0.4964
