run #,datetime,avg_loss,avg_loss_change,total_loss,cost_loss,structure_reg,pred_cost,true_cost,param_0,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,param_9,param_10,param_11,param_12
1,2025-08-05 19:48:32,1414888320.0000,0.0000,1414888320.0000,1414888320.0000,0.4130,102905.9844,57947.4590,10.9224,3.0986,87.1267,1.2617,140.1581,4.4872,0.4966,1.0384,87.0065,177.1827,0.7365,0.8958,0.4976
2,2025-08-05 19:48:34,982579808.0000,-432308512.0000,550271296.0000,550271296.0000,2.5116,102526.7344,74489.2259,11.2189,2.9521,-97.8116,2.3175,138.8047,5.8589,0.5060,1.1195,93.4652,180.7352,0.7230,0.8981,0.5059
3,2025-08-05 19:48:35,940275626.6667,-42304181.3333,855667264.0000,855667264.0000,2.2795,101770.5000,66807.9218,9.0491,2.9920,-85.3547,1.4087,132.8526,4.6152,0.5010,0.9674,88.1090,176.4651,0.7717,0.9018,0.4938
4,2025-08-05 19:48:37,1113521216.0000,173245589.3333,1633257984.0000,1633257984.0000,0.9527,101641.2188,53337.7422,10.5795,2.8700,101.7994,-5.7382,129.7853,4.4836,0.5036,1.0540,88.0282,182.2485,0.7420,0.8914,0.5000
5,2025-08-05 19:48:38,1105644364.8000,-7876851.2000,1074136960.0000,1074136960.0000,0.6314,101765.5156,62593.0588,12.0473,3.0790,95.6515,3.3821,133.3241,3.9559,0.4996,1.1113,94.4748,179.4629,0.6960,0.9059,0.5120
6,2025-08-05 19:48:40,1143545621.3333,37901256.5333,1333051904.0000,1333051904.0000,0.7458,100695.1094,57056.1370,9.9740,3.0190,80.9259,0.1983,136.7313,5.2264,0.4985,0.8703,82.2032,177.0568,0.7469,0.9082,0.5035
7,2025-08-05 19:48:42,1076023570.2857,-67522051.0476,670891264.0000,670891264.0000,1.6679,100355.2500,69396.9560,12.1193,2.9870,-86.4034,1.0728,124.8593,4.7996,0.5036,0.9721,87.9947,180.9586,0.7167,0.9009,0.5062
8,2025-08-05 19:48:44,1007416108.0000,-68607462.2857,527163872.0000,527163872.0000,3.2916,98034.7578,70592.2500,9.4896,2.9089,-88.1878,0.5732,134.2514,4.6139,0.4937,0.9229,87.3257,179.9203,0.6177,0.8893,0.5019
9,2025-08-05 19:48:45,931771136.0000,-75644972.0000,326611360.0000,326611360.0000,3.5893,96444.8906,74844.2531,9.3899,2.9780,-98.6175,-0.3717,138.1759,5.9281,0.5298,1.2735,91.6525,180.2859,0.7047,0.9056,0.4952
10,2025-08-05 19:48:47,881351504.0000,-50419632.0000,427574816.0000,427574816.0000,5.0988,93519.9219,68805.1221,10.1993,2.9689,-106.8709,-1.3347,133.6306,4.6857,0.4923,0.9933,91.5337,176.3054,0.6708,0.9110,0.4922
11,2025-08-05 19:48:48,856830821.8182,-24520682.1818,611624000.0000,611624000.0000,0.6682,89258.2031,59698.9664,9.8299,3.1685,83.8382,2.6932,139.8375,5.7754,0.4818,1.0885,95.4723,176.9589,0.7379,0.8941,0.4907
12,2025-08-05 19:48:50,814937288.0000,-41893533.8182,354108416.0000,354108416.0000,0.4534,78270.8125,55779.2791,11.5593,3.1406,72.6536,-1.0940,135.7391,4.4932,0.5014,0.9962,97.5575,181.1493,0.7141,0.8992,0.5040
13,2025-08-05 19:48:52,772826846.7692,-42110441.2308,267501552.0000,267501552.0000,1.2256,74432.5469,54884.0175,9.8439,2.8667,82.3089,4.4923,133.7702,4.1026,0.5011,0.9509,86.3861,179.1825,0.8216,0.8960,0.5141
14,2025-08-05 19:48:53,718853084.0000,-53973762.7692,17194172.0000,17194168.0000,3.1496,66301.3281,61345.2115,10.3199,3.1501,-80.7291,-2.8869,133.8483,5.2873,0.5018,0.9710,85.9552,181.1376,0.6585,0.8963,0.5026
15,2025-08-05 19:48:55,677987077.3333,-40866006.6667,105862992.0000,105862984.0000,7.5666,57462.5664,69760.2404,9.6179,2.7231,-95.9282,-0.1645,137.7091,3.9619,0.4702,0.7396,87.9713,175.0825,0.6647,0.9076,0.4989
16,2025-08-05 19:48:57,635734252.9453,-42252824.3880,1941888.0000,1941887.1250,0.9043,53760.8242,55426.3938,9.7711,2.9313,81.9466,-1.2925,147.1127,4.9826,0.4945,0.8930,86.8145,177.9129,0.7030,0.9031,0.5084
17,2025-08-05 19:48:58,598447397.9412,-37286855.0041,1857718.3750,1857717.8750,0.5144,55022.5156,56651.5904,10.5411,2.9134,70.0402,1.6457,134.0235,5.5478,0.4971,0.9398,94.0275,181.2129,0.7159,0.9040,0.4946
18,2025-08-05 19:49:00,565276541.6458,-33170856.2953,1371986.3750,1371984.6250,1.7086,52655.8867,54055.8797,9.9577,2.9511,116.2535,3.2160,137.1251,4.1512,0.4969,0.9844,86.7053,178.7158,0.7340,0.9013,0.4927
19,2025-08-05 19:49:02,540714545.5592,-24561996.0866,98598616.0000,98598616.0000,1.0776,57395.1328,69263.3738,8.1683,2.9287,76.6740,-2.7316,131.6300,5.9237,0.5078,1.0404,93.1104,184.2559,0.7028,0.8904,0.5168
20,2025-08-05 19:49:03,515259676.3813,-25454869.1780,31617166.0000,31617162.0000,4.1049,56301.8555,63022.5215,8.5184,3.0035,-71.8130,-7.7778,130.1443,4.6693,0.5078,0.8938,87.7807,182.0562,0.7039,0.9008,0.5002
21,2025-08-05 19:49:05,498205223.2202,-17054453.1610,157116160.0000,157116160.0000,3.9107,58951.6875,73933.3956,8.9307,3.0479,-78.9788,-5.1096,135.7072,6.0361,0.5079,1.0563,92.9012,177.6915,0.6282,0.9015,0.5110
22,2025-08-05 19:49:07,475658163.8920,-22547059.3282,2169924.5000,2169918.0000,6.5522,69606.9375,67846.2881,9.6261,2.9257,-97.3144,-4.9062,135.5104,4.4610,0.4988,0.9265,91.0335,183.7926,0.7093,0.9026,0.5055
23,2025-08-05 19:49:08,456416604.3315,-19241559.5605,33102296.0000,33102294.0000,1.1884,58710.0664,51833.3678,9.0297,3.1703,73.7311,4.4569,131.0051,4.2761,0.5056,1.0718,89.3186,184.7126,0.7873,0.9060,0.4899
24,2025-08-05 19:49:10,437413142.1315,-19003462.2000,333517.8438,333511.5312,6.3101,62033.0977,62723.3458,9.0346,3.0909,-91.7767,1.0482,142.2527,3.9915,0.5085,1.0288,85.0398,179.8636,0.6920,0.9053,0.5002
25,2025-08-05 19:49:12,420404145.2862,-17008996.8453,12188227.0000,12188221.0000,6.0672,62985.8320,67158.5678,10.4700,3.0452,-91.3304,5.0012,135.8058,5.1767,0.5084,1.0067,86.3660,177.2555,0.7245,0.8961,0.4934
26,2025-08-05 19:49:13,404594241.2752,-15809904.0110,9346649.0000,9346641.0000,8.3997,73283.9688,69629.8827,10.2596,2.9140,-87.9806,-5.1517,139.7008,3.6647,0.4797,1.0246,89.9962,179.7584,0.6487,0.9035,0.4891
27,2025-08-05 19:49:15,389609270.2544,-14984971.0208,30.2926,23.7133,6.5793,70185.1250,70190.9417,9.6010,2.9231,-88.9527,4.1340,138.5661,5.0655,0.5078,0.9206,89.2359,177.5026,0.7236,0.9117,0.5046
28,2025-08-05 19:49:17,379610122.6025,-9999147.6519,109633136.0000,109633136.0000,1.2619,71739.1172,59224.3764,11.9089,3.1408,93.8906,-8.0952,138.9380,4.4892,0.4982,0.9939,92.1596,180.0337,0.6804,0.8967,0.5044
